r,g,b,name,code
231,99,24,Orange                 ,(106 Bright Orange)
168,61,21,Dark Orange            ,(38 Dark Orange)
128,8,27,Dark Red               ,(154 Dark Red)
222,0,13,Red                    ,(21 Bright Red)
0,37,65,Dark Blue              ,(140 Earth Blue)
0,87,168,Blue                   ,(23 Bright Blue)
94,116,140,Sand Blue              ,(135 Sand Blue)
135,192,234,Light Blue             ,(212 Light Royal Blue)
71,140,198,Medium Blue            ,(102 Medium Blue)
104,195,226,Azure                  ,(322 Medium Azur)
70,155,195,Dark Azur              ,(321 Dark Azur)
91,28,12,Reddish Brown          ,(192 Reddish Brown)
48,15,6,Dark Brown             ,(308 Dark Brown)
