r,g,b,name,code
1,1,1,Black                  ,(26 Black)
76,81,86,Dark Grey              ,(199 Dark Stone Grey)
156,146,145,Light Grey             ,(194 Medium Stone Grey)
228,228,218,Very Light Grey        ,(208 Light Stone Grey)
255,255,255,White                  ,(1 White)
244,155,0,Bright Light Orange    ,(191 Flame Yellowish Orange)
231,99,24,Orange                 ,(106 Bright Orange)
168,61,21,Dark Orange            ,(38 Dark Orange)
128,8,27,Dark Red               ,(154 Dark Red)
222,0,13,Red                    ,(21 Bright Red)
91,28,12,Reddish Brown          ,(192 Reddish Brown)
48,15,6,Dark Brown             ,(308 Dark Brown)
170,125,85,Medium Dark Flesh      ,(312 Medium Nougat)
214,114,64,Flesh                  ,(18 Nougat)
